date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
23-Apr-20,2020-04-23,Confirmed,1667,4,80,0,1,27,0,0,0,128,0,0,217,1,6,7,27,18,10,0,778,0,0,100,0,0,6,5,0,76,0,27,54,0,61,1,33
24-Apr-20,2020-04-24,Confirmed,1408,7,62,0,0,53,0,0,0,138,0,0,191,0,5,6,20,29,3,0,390,0,0,159,0,0,5,15,0,70,0,13,72,0,111,1,58
25-Apr-20,2020-04-25,Confirmed,1835,4,61,0,0,28,1,1,0,111,0,0,256,0,12,8,40,26,7,0,811,0,0,99,0,0,6,10,1,49,0,7,66,0,172,0,57
26-Apr-20,2020-04-26,Confirmed,1607,0,81,0,0,26,8,0,0,293,0,0,230,0,9,15,29,3,11,0,440,0,0,145,0,0,3,14,0,102,0,11,64,0,80,3,40
27-Apr-20,2020-04-27,Confirmed,1568,0,80,0,0,69,9,0,0,190,0,0,247,0,5,21,23,9,13,0,522,0,0,75,0,0,15,8,0,77,0,2,52,0,113,0,38
28-Apr-20,2020-04-28,Confirmed,1902,0,82,0,2,20,11,1,0,206,0,0,226,0,7,2,19,11,4,0,728,0,0,222,0,0,0,12,0,102,0,6,121,0,67,3,48
29-Apr-20,2020-04-29,Confirmed,1705,0,73,0,0,37,12,0,0,125,0,0,308,0,3,2,16,12,10,0,597,0,0,173,0,0,7,33,0,76,0,7,104,0,81,1,28
30-Apr-20,2020-04-30,Confirmed,1802,0,71,0,5,22,6,2,0,76,0,0,313,0,28,3,33,30,2,0,583,0,0,65,0,0,18,105,0,144,0,22,161,1,77,2,33
01-May-20,2020-05-01,Confirmed,2396,0,60,0,0,41,14,3,0,223,0,0,326,0,18,3,25,24,0,0,1008,0,0,90,0,0,11,105,0,82,0,6,203,0,117,0,37
02-May-20,2020-05-02,Confirmed,2564,0,62,0,0,15,6,0,0,384,0,0,333,0,19,2,27,12,2,0,790,0,0,73,0,0,6,187,1,106,0,17,231,2,159,2,127
03-May-20,2020-05-03,Confirmed,2952,0,58,0,0,36,3,14,0,427,0,0,374,0,66,0,35,13,0,0,678,0,0,49,0,0,2,330,0,114,0,21,266,12,158,1,276
04-May-20,2020-05-04,Confirmed,3656,0,67,0,0,11,5,1,0,349,0,0,376,1,75,0,25,37,0,0,1567,0,0,105,0,0,7,130,0,175,0,3,527,13,121,0,61
05-May-20,2020-05-05,Confirmed,2971,0,67,0,2,7,17,1,0,206,1,0,441,1,31,10,15,22,3,0,984,0,0,107,0,0,8,219,0,97,0,11,508,13,114,1,85
06-May-20,2020-05-06,Confirmed,3602,0,60,0,1,7,5,0,0,428,0,0,380,1,46,2,34,20,0,0,1233,0,0,89,0,0,28,75,0,159,0,11,771,22,118,0,112
07-May-20,2020-05-07,Confirmed,3344,0,56,0,8,8,11,0,0,448,0,0,388,3,31,5,18,12,0,0,1216,0,0,114,0,0,14,118,0,110,0,15,580,24,73,0,92
08-May-20,2020-05-08,Confirmed,3339,0,54,0,6,29,11,0,0,338,0,0,390,4,22,22,30,48,1,0,1089,0,0,89,0,0,51,87,1,152,0,10,600,30,143,2,130
09-May-20,2020-05-09,Confirmed,3175,0,43,0,2,32,23,0,0,224,0,0,394,2,28,2,13,41,2,0,1165,1,0,116,0,0,82,31,0,129,0,31,526,17,159,4,108
10-May-20,2020-05-10,Confirmed,4311,0,50,0,1,96,4,0,0,381,0,0,398,6,28,1,25,54,7,0,1943,0,0,157,0,0,25,61,2,106,0,33,669,16,94,1,153
11-May-20,2020-05-11,Confirmed,3592,0,38,0,2,42,8,0,0,310,0,0,347,1,27,4,18,14,7,0,1230,0,0,171,0,0,38,54,0,174,0,79,798,0,106,0,124
12-May-20,2020-05-12,Confirmed,3562,0,71,0,0,130,6,0,0,406,0,0,362,8,50,11,55,63,5,0,1026,0,0,201,0,0,22,37,0,138,0,51,716,2,91,1,110
13-May-20,2020-05-13,Confirmed,3726,0,48,0,15,74,4,0,0,359,0,0,364,1,13,5,37,34,10,0,1495,0,0,187,0,0,101,10,1,202,0,41,509,1,94,3,117
14-May-20,2020-05-14,Confirmed,3991,0,68,0,7,46,0,1,0,472,0,8,324,6,25,26,12,28,26,0,1602,0,1,253,0,0,134,11,3,206,0,47,447,1,144,6,87
15-May-20,2020-05-15,Confirmed,3808,0,102,0,3,34,0,6,0,425,0,0,340,2,36,8,30,69,16,0,1576,0,0,169,0,0,65,-3,0,213,0,40,434,0,155,4,84
16-May-20,2020-05-16,Confirmed,4794,0,48,0,3,145,0,1,0,438,0,5,1057,2,33,6,108,36,11,0,1606,0,4,195,0,0,0,14,1,213,0,55,477,11,201,9,115
